# pfam_scan.pl,  run at Fri Feb 12 16:24:40 2016
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jm14@sanger.ac.uk), John Tate (jt6@sanger.ac.uk), 
#          Rob Finn (rdf@sanger.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /home/wonjunetai/Documents/KimLab/pulse/output/preprocess/G41726.MCF7.5.bam/p_seq_isoforms.fas
#        searching against: /usr/local/bin/hmmer3/data/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

I."ENST00000498666";21_46323280_46323450-242=171=181        43     87     43     88 PF08725.6   Integrin_b_cyt    Domain     1    46    47     66.6   8.5e-19   1 No_clan  
I."ENST00000351154";16_16180681_16180848-127=168=184      1251   1399   1251   1399 PF00005.22  ABC_tran          Domain     1   137   137    100.6   8.2e-29   1 CL0023   
I."ENST00000345148";16_16177223_16177399-127=177=168       326    596    325    596 PF00664.18  ABC_membrane      Family     2   275   275    175.8   1.1e-51   1 CL0241   
I."ENST00000345148";16_16177223_16177399-127=177=168       661    795    661    796 PF00005.22  ABC_tran          Domain     1   136   137     76.1   2.9e-21   1 CL0023   
I."ENST00000345148";16_16177223_16177399-127=177=168       972   1246    972   1248 PF00664.18  ABC_membrane      Family     1   273   275    156.6   8.2e-46   1 CL0241   
I."ENST00000345148";16_16177223_16177399-127=177=168      1310   1423   1310   1435 PF00005.22  ABC_tran          Domain     1   109   137     55.6   6.7e-15   1 CL0023   
I."ENST00000526187";6_135511265_135511485-93=221=235        43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.6   1.7e-19   1 CL0123   
I."ENST00000526187";6_135511265_135511485-93=221=235       145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.7     2e-16   1 CL0123   
I."ENST00000526187";6_135511265_135511485-93=221=235       266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.1   2.8e-29   1 No_clan  
E."ENST00000531634";6_135517864_135518461-255=598=143       43    102     43    102 PF13921.1   Myb_DNA-bind_6    Domain     1    59    60     70.5   9.2e-20   1 CL0123   
E."ENST00000531634";6_135517864_135518046-255=183=143       43    102     43    102 PF13921.1   Myb_DNA-bind_6    Domain     1    59    60     70.5   9.2e-20   1 CL0123   
E."ENST00000531634";6_135518099_135518461-255=363=143       43    102     43    102 PF13921.1   Myb_DNA-bind_6    Domain     1    59    60     70.5   9.2e-20   1 CL0123   
I."ENST00000525514";6_135520664_135520719-143=56=115        43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     70.0   1.3e-19   1 CL0123   
I."ENST00000525514";6_135520664_135520719-143=56=115       145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     60.1   1.6e-16   1 CL0123   
I."ENST00000525514";6_135520664_135520719-143=56=115       266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.5   2.1e-29   1 No_clan  
E."ENST00000531634";6_135520664_135520719-143=56=115        43    102     43    102 PF13921.1   Myb_DNA-bind_6    Domain     1    59    60     70.5   9.2e-20   1 CL0123   
E."ENST00000534044";6_135516098_135516219-105=122=255       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     68.9   2.8e-19   1 CL0123   
E."ENST00000534044";6_135516098_135516219-105=122=255      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.0   3.2e-16   1 CL0123   
E."ENST00000534044";6_135516098_135516219-105=122=255      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48     99.5   4.5e-29   1 No_clan  
E."ENST00000534044";6_135516098_135516219-105=122=255      401    530    399    558 PF09316.5   Cmyb_C            Family     5   130   167    186.4     3e-55   1 No_clan  
I."ENST00000531634";6_135522777_135522887-126=111=108       43    102     43    102 PF13921.1   Myb_DNA-bind_6    Domain     1    59    60     70.5   9.2e-20   1 CL0123   
E."ENST00000528015";6_135516098_135516219-105=122=170       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.6   1.7e-19   1 CL0123   
E."ENST00000528015";6_135516098_135516219-105=122=170      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.7     2e-16   1 CL0123   
E."ENST00000528015";6_135516098_135516219-105=122=170      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.1   2.8e-29   1 No_clan  
I."ENST00000528140";6_135517864_135518046-170=183=143       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.8   1.5e-19   1 CL0123   
I."ENST00000528140";6_135517864_135518046-170=183=143      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.9   1.8e-16   1 CL0123   
I."ENST00000528140";6_135517864_135518046-170=183=143      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.3   2.5e-29   1 No_clan  
I."ENST00000529262";6_135517864_135518461-170=598=143       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.8   1.5e-19   1 CL0123   
I."ENST00000529262";6_135517864_135518461-170=598=143      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.9   1.8e-16   1 CL0123   
I."ENST00000529262";6_135517864_135518461-170=598=143      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.3   2.4e-29   1 No_clan  
I."ENST00000534044";6_135515494_135515598-81=105=255        43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     68.9   2.8e-19   1 CL0123   
I."ENST00000534044";6_135515494_135515598-81=105=255       145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.0   3.2e-16   1 CL0123   
I."ENST00000534044";6_135515494_135515598-81=105=255       266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48     99.5   4.5e-29   1 No_clan  
I."ENST00000534044";6_135515494_135515598-81=105=255       401    530    399    558 PF09316.5   Cmyb_C            Family     5   130   167    186.4     3e-55   1 No_clan  
I."ENST00000526889";6_135515494_135515589-81=96=255         43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.5   1.9e-19   1 CL0123   
I."ENST00000526889";6_135515494_135515589-81=96=255        145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.6   2.2e-16   1 CL0123   
I."ENST00000526889";6_135515494_135515589-81=96=255        266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.0     3e-29   1 No_clan  
I."ENST00000526889";6_135515494_135515589-81=96=255        398    445    396    446 PF09316.5   Cmyb_C            Family     5    51   167     47.8   1.2e-12   1 No_clan  
I."ENST00000526565";6_135516098_135516219-96=122=255        43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     70.0   1.3e-19   1 CL0123   
I."ENST00000526565";6_135516098_135516219-96=122=255       145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     60.1   1.5e-16   1 CL0123   
I."ENST00000526565";6_135516098_135516219-96=122=255       266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.5   2.1e-29   1 No_clan  
E."ENST00000526889";6_135516098_135516219-96=122=255        43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.5   1.9e-19   1 CL0123   
E."ENST00000526889";6_135516098_135516219-96=122=255       145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.6   2.2e-16   1 CL0123   
E."ENST00000526889";6_135516098_135516219-96=122=255       266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.0     3e-29   1 No_clan  
E."ENST00000526889";6_135516098_135516219-96=122=255       398    445    396    446 PF09316.5   Cmyb_C            Family     5    51   167     47.8   1.2e-12   1 No_clan  
I."ENST00000534044";6_135516886_135517140-105=255=143       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     68.9   2.8e-19   1 CL0123   
I."ENST00000534044";6_135516886_135517140-105=255=143      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.0   3.2e-16   1 CL0123   
I."ENST00000534044";6_135516886_135517140-105=255=143      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48     99.5   4.5e-29   1 No_clan  
I."ENST00000534044";6_135516886_135517140-105=255=143      401    530    399    558 PF09316.5   Cmyb_C            Family     5   130   167    186.4     3e-55   1 No_clan  
I."ENST00000525940";6_135516886_135517055-105=170=143       43    103     43    103 PF13921.1   Myb_DNA-bind_6    Domain     1    60    60     69.8   1.4e-19   1 CL0123   
I."ENST00000525940";6_135516886_135517055-105=170=143      145    188    144    189 PF00249.26  Myb_DNA-binding   Domain     2    47    48     59.9   1.7e-16   1 CL0123   
I."ENST00000525940";6_135516886_135517055-105=170=143      266    313    266    313 PF07988.7   LMSTEN             Motif     1    48    48    100.4   2.3e-29   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214          43    123     43    123 PF02140.13  Gal_Lectin        Family     1    80    80     84.3   5.3e-24   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214         139    392    138    393 PF02191.11  OLF               Family     2   249   250    315.9   1.5e-94   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214         496    552    495    553 PF02793.17  HRM               Family     2    65    66     24.6   1.8e-05   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214         559    789    559    789 PF12003.3   DUF3497           Family     1   218   218    272.2   2.4e-81   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214         815    861    814    861 PF01825.16  GPS               Family     2    44    44     55.9   3.2e-15   1 No_clan  
E."ENST00000514996";4_62383033_62383236-55=204=214         876   1110    874   1110 PF00002.19  7tm_2             Family     3   243   243    237.5   1.1e-70   1 CL0192   
E."ENST00000514996";4_62383033_62383236-55=204=214        1130   1503   1129   1503 PF02354.11  Latrophilin       Family     2   366   366    594.5  5.4e-179   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169           43    123     43    123 PF02140.13  Gal_Lectin        Family     1    80    80     84.3   5.3e-24   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169          139    392    138    393 PF02191.11  OLF               Family     2   249   250    315.9   1.5e-94   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169          496    552    495    553 PF02793.17  HRM               Family     2    65    66     24.6   1.8e-05   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169          559    789    559    789 PF12003.3   DUF3497           Family     1   218   218    272.2   2.4e-81   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169          815    861    814    861 PF01825.16  GPS               Family     2    44    44     55.9   3.2e-15   1 No_clan  
I."ENST00000508946";4_62894573_62894599-92=27=169          876   1119    874   1119 PF00002.19  7tm_2             Family     3   243   243    236.1   2.8e-70   1 CL0192   
I."ENST00000508946";4_62894573_62894599-92=27=169         1139   1512   1138   1512 PF02354.11  Latrophilin       Family     2   366   366    594.5  5.5e-179   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169           43    123     43    123 PF02140.13  Gal_Lectin        Family     1    80    80     84.3   5.3e-24   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169          139    392    138    393 PF02191.11  OLF               Family     2   249   250    315.9   1.5e-94   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169          496    552    495    553 PF02793.17  HRM               Family     2    65    66     24.6   1.8e-05   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169          559    789    559    789 PF12003.3   DUF3497           Family     1   218   218    272.2   2.4e-81   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169          815    861    814    861 PF01825.16  GPS               Family     2    44    44     55.9   3.2e-15   1 No_clan  
E."ENST00000514996";4_62894573_62894599-92=27=169          876   1110    874   1110 PF00002.19  7tm_2             Family     3   243   243    237.5   1.1e-70   1 CL0192   
E."ENST00000514996";4_62894573_62894599-92=27=169         1130   1503   1129   1503 PF02354.11  Latrophilin       Family     2   366   366    594.5  5.4e-179   1 No_clan  
I."ENST00000488877";10_90770510_90770572-62=63=83           85    111     85    116 PF00020.13  TNFR_c6           Domain     1    25    39     22.7   7.2e-05   1 No_clan  
E."ENST00000479719";3_124450353_124450451-176=99=154        43    152     41    153 PF00156.22  Pribosyltran      Domain     3   124   125     52.2   4.4e-14   1 CL0533   
E."ENST00000479719";3_124450353_124450451-176=99=154       252    338    252    340 PF00215.19  OMPdecase         Domain     1    88   226    106.8   9.9e-31   1 CL0036   
I."ENST00000367170";1_204946809_204946853-125=45=102       144    237    143    238 PF07679.11  I-set             Domain     2    89    90     28.1   1.3e-06   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       250    335    242    335 PF13895.1   Ig_2              Domain     7    80    80     20.8   0.00029   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       357    435    352    435 PF07679.11  I-set             Domain     9    90    90     52.8   2.6e-14   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       443    527    439    527 PF07679.11  I-set             Domain     5    90    90     33.5   2.6e-08   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       549    620    536    620 PF07679.11  I-set             Domain    17    90    90     47.8   9.5e-13   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       626    711    624    711 PF07679.11  I-set             Domain     3    90    90     51.7   5.7e-14   1 CL0011   
I."ENST00000367170";1_204946809_204946853-125=45=102       732    816    731    816 PF00041.16  fn3               Domain     2    85    85     43.3     3e-11   1 CL0159   
I."ENST00000367170";1_204946809_204946853-125=45=102       831    914    831    915 PF00041.16  fn3               Domain     1    84    85     25.9   7.6e-06   1 CL0159   
I."ENST00000367170";1_204946809_204946853-125=45=102       930   1022    929   1022 PF00041.16  fn3               Domain     2    85    85     29.8   4.6e-07   1 CL0159   
I."ENST00000367170";1_204946809_204946853-125=45=102      1035   1119   1035   1120 PF00041.16  fn3               Domain     1    83    85     34.7   1.3e-08   1 CL0159   
I."ENST00000367170";1_204946809_204946853-125=45=102      1144   1216   1141   1218 PF00041.16  fn3               Domain     4    82    85     34.4   1.7e-08   1 CL0159   
I."ENST00000367170";1_204946809_204946853-125=45=102      1262   1348   1262   1348 PF13882.1   Bravo_FIGEY       Domain     1    90    90     92.3   2.6e-26   1 No_clan  
I."ENST00000367172";1_204966298_204966534-11=237=117       144    237    143    238 PF07679.11  I-set             Domain     2    89    90     28.0   1.4e-06   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       250    335    242    335 PF13895.1   Ig_2              Domain     7    80    80     20.7   0.00031   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       357    435    352    435 PF07679.11  I-set             Domain     9    90    90     52.7   2.8e-14   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       443    527    439    527 PF07679.11  I-set             Domain     5    90    90     33.4   2.8e-08   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       549    620    536    620 PF07679.11  I-set             Domain    17    90    90     47.7     1e-12   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       626    711    624    711 PF07679.11  I-set             Domain     3    90    90     51.6   6.1e-14   1 CL0011   
I."ENST00000367172";1_204966298_204966534-11=237=117       732    816    731    816 PF00041.16  fn3               Domain     2    85    85     43.2   3.2e-11   1 CL0159   
I."ENST00000367172";1_204966298_204966534-11=237=117       831    914    831    915 PF00041.16  fn3               Domain     1    84    85     25.8   8.1e-06   1 CL0159   
I."ENST00000367172";1_204966298_204966534-11=237=117       930   1022    929   1022 PF00041.16  fn3               Domain     2    85    85     29.7     5e-07   1 CL0159   
I."ENST00000367172";1_204966298_204966534-11=237=117      1035   1119   1035   1120 PF00041.16  fn3               Domain     1    83    85     34.6   1.4e-08   1 CL0159   
I."ENST00000367172";1_204966298_204966534-11=237=117      1223   1295   1220   1297 PF00041.16  fn3               Domain     4    82    85     34.3   1.8e-08   1 CL0159   
I."ENST00000367172";1_204966298_204966534-11=237=117      1341   1427   1341   1427 PF13882.1   Bravo_FIGEY       Domain     1    90    90     92.2   2.8e-26   1 No_clan  
I."ENST00000356483";19_49458805_49458856-34=52=147          63    123     63    132 PF00452.14  Bcl-2             Family     1    66   101     48.1   9.5e-13   1 CL0551   
I."ENST00000356483";19_49458805_49458856-34=52=147         121    162    121    164 PF13900.1   GVQW              Domain     1    42    48     74.8   3.8e-21   1 CL0093   
E."ENST00000380230";15_65206232_65206329-63=98=104          19     78      7     78 PF12796.2   Ank_2             Family    30    89    89     35.6   8.4e-09   1 CL0465   
E."ENST00000380230";15_65206232_65206329-63=98=104          91    146     75    153 PF12796.2   Ank_2             Family    26    81    89     35.9   6.8e-09   1 CL0465   
E."ENST00000380230";15_65206232_65206329-63=98=104         164    253    164    255 PF12796.2   Ank_2             Family     2    87    89     68.5   4.5e-19   1 CL0465   
E."ENST00000380230";15_65206232_65206329-63=98=104         259    311    258    311 PF13637.1   Ank_4             Domain     2    54    54     30.1   4.8e-07   1 CL0465   
E."ENST00000380230";15_65206232_65206329-63=98=104         322    379    318    384 PF12796.2   Ank_2             Family    25    81    89     41.8   9.7e-11   1 CL0465   
E."ENST00000380230";15_65206232_65206329-63=98=104         414    494    413    495 PF00531.17  Death             Domain     2    76    83     45.9   3.4e-12   1 CL0041   
I."ENST00000375224";1_19421400_19421519-191=120=108         78    874     78    874 PF13764.1   E3_UbLigase_R4    Family     1   802   802   1100.1         0   1 No_clan  
I."ENST00000403078";1_161558212_161558232-239=21=258        52    128     47    128 PF13895.1   Ig_2              Domain     4    80    80     41.4   1.1e-10   1 CL0011   
I."ENST00000403078";1_161558212_161558232-239=21=258       134    214    132    214 PF13895.1   Ig_2              Domain     3    80    80     43.6   2.4e-11   1 CL0011   
I."ENST00000391905";1_210522277_210522410-199=134=68       130    441    125    442 PF03062.14  MBOAT             Family     6   321   322    181.8   1.7e-53   1 CL0517   
E."ENST00000402363";1_46060366_46060445-48=80=73           544    581    544    581 PF10516.4   SHNi-TPR          Repeat     1    38    38     52.8   1.5e-14   1 CL0020   
E."ENST00000402363";1_46060366_46060445-48=80=73           586    616    586    619 PF00515.23  TPR_1             Repeat     1    31    34     23.3   3.2e-05   1 CL0020   
I."ENST00000402363";1_46072993_46074009-110=1017=80        544    581    544    581 PF10516.4   SHNi-TPR          Repeat     1    38    38     52.8   1.5e-14   1 CL0020   
I."ENST00000402363";1_46072993_46074009-110=1017=80        586    616    586    619 PF00515.23  TPR_1             Repeat     1    31    34     23.3   3.2e-05   1 CL0020   
I."ENST00000358371";2_135743370_135745823-150=2454=44      948   1211    948   1211 PF00069.20  Pkinase           Domain     1   260   260    221.5   9.9e-66   1 CL0016   
E."ENST00000375844";2_135743370_135745823-150=2454=44      243    506    243    506 PF00069.20  Pkinase           Domain     1   260   260    224.0   1.7e-66   1 CL0016   
I."ENST00000528977";11_64814947_64815037-82=91=92           92    212     91    213 PF04253.10  TFR_dimer         Domain     2   124   125    117.4   2.7e-34   1 No_clan  
I."ENST00000485640";1_110199334_110199409-79=76=65           3    101      3    101 PF02798.15  GST_N             Domain     1    76    76     68.3   4.7e-19   1 CL0172   
I."ENST00000485640";1_110199334_110199409-79=76=65         124    208    123    211 PF00043.20  GST_C             Domain     2    92    95     60.2   1.4e-16   1 CL0497   
I."ENST00000531164";11_113200642_113200701-122=60=72        80    145     79    146 PF13414.1   TPR_11            Repeat     2    68    69     60.9   6.4e-17   1 CL0020   
I."ENST00000529850";11_113186965_113187037-36=73=164       105    153    104    181 PF13414.1   TPR_11            Repeat     2    50    69     35.1   7.4e-09   1 CL0020   
I."ENST00000325897";8_62212236_62212841-167=606=175         52     96     22     97 PF03765.10  CRAL_TRIO_N       Domain     3    54    55     36.2   4.8e-09   1 No_clan  
I."ENST00000325897";8_62212236_62212841-167=606=175        124    274    120    274 PF00650.15  CRAL_TRIO         Domain     5   159   159    117.4   3.8e-34   1 CL0512   
E."ENST00000466246";3_158306641_158306713-87=73=148         26    204     26    204 PF10248.4   Mlf1IP            Family     1   162   176    245.9   1.7e-73   1 No_clan  
I."ENST00000391815";19_51010831_51010956-195=126=163        18    172     18    177 PF02099.12  Josephin          Family     1   154   158     91.8   3.3e-26   1 No_clan  
I."ENST00000395895";10_35426710_35426807-108=98=124        118    156    114    156 PF02173.12  pKID              Family     3    41    41     65.2   2.1e-18   1 No_clan  
I."ENST00000395895";10_35426710_35426807-108=98=124        300    356    300    360 PF00170.16  bZIP_1            Family     1    57    64     71.1   5.4e-20   1 CL0018   
I."ENST00000423870";20_13839908_13840080-129=173=75          6     38      4     39 PF08238.7   Sel1              Repeat     3    38    39      2.8   1.9e+02   1 CL0020   
I."ENST00000423870";20_13839908_13840080-129=173=75         41     74     40     75 PF08238.7   Sel1              Repeat     2    38    39     12.1      0.23   1 CL0020   
I."ENST00000423870";20_13839908_13840080-129=173=75         78    108     77    109 PF08238.7   Sel1              Repeat     3    36    39     13.7     0.073   1 CL0020   
I."ENST00000423870";20_13839908_13840080-129=173=75        162    194    161    194 PF08238.7   Sel1              Repeat     5    39    39     22.3   0.00015   1 CL0020   
