index,transcript,protein,probability
57,ENST00000493060,O15381,0.4992
58,ENST00000414747,Q8N5S3,0.5002
59,ENST00000351559,Q9MYX8,0.5006
60,ENST00000446921,Q6P4S6,0.501
61,ENST00000378555,O00592,0.5013
62,ENST00000549074,P56192,0.5039
63,ENST00000432829,Q5T8R8,0.506
64,ENST00000483669,Q502W6,0.5066
65,ENST00000551431,Q2T9L8,0.507
66,ENST00000494029,Q8NHU2,0.507
67,ENST00000369327,A2VDU3,0.5074
68,ENST00000466947,Q7Z7G0,0.5076
69,ENST00000445935,P58505,0.5083
70,ENST00000426732,A4FU49,0.5087
71,ENST00000549074,P56192,0.5109
72,ENST00000371018,Q5REE1,0.5111
73,ENST00000430093,Q9NSI6,0.5112
74,ENST00000359176,P49342,0.512
75,ENST00000414964,Q02505,0.5141
76,ENST00000511782,P49342,0.5176
77,ENST00000509560,Q8NEZ3,0.5183
78,ENST00000509142,Q5R4F4,0.5193
79,ENST00000509142,Q5R4F4,0.52
80,ENST00000431808,Q3UTJ2,0.5214
81,ENST00000359176,P49342,0.5215
82,ENST00000373648,Q6ZMY3,0.5219
83,ENST00000319471,Q3UTJ2,0.5222
84,ENST00000535861,O15231,0.5231
85,ENST00000368340,Q9H869,0.5236
86,ENST00000500777,Q5R4F4,0.5236
87,ENST00000481858,Q15415,0.5246
88,ENST00000366766,Q3UU96,0.5254
89,ENST00000382653,A6NEQ0,0.5256
90,ENST00000358944,A6NEQ0,0.5256
91,ENST00000512112,Q8NEZ3,0.5262
92,ENST00000486902,H2QL32,0.5266
93,ENST00000522165,Q5TAT6,0.5271
94,ENST00000415541,Q9Y2K2,0.5276
95,ENST00000475776,P58505,0.5276
96,ENST00000509230,Q4JDL3,0.5285
97,ENST00000509774,Q4JDL3,0.5285
98,ENST00000375224,Q5T4S7,0.5292
99,ENST00000592614,A0A087WXS9,0.5292
100,ENST00000284483,P83510,0.5315
101,ENST00000491990,Q5SRE5,0.5325
102,ENST00000475677,Q9P2H3,0.5334
103,ENST00000592614,A0A087WXS9,0.5336
104,ENST00000454514,P20701,0.5337
105,ENST00000556047,Q8N769,0.5341
106,ENST00000567107,Q8N9W4,0.5355
107,ENST00000413835,O08679,0.5367
108,ENST00000415148,P16070,0.537
109,ENST00000441793,P46379,0.5374
110,ENST00000480189,P27925,0.5374
111,ENST00000515532,Q4JDL3,0.5376
112,ENST00000509599,Q4JDL3,0.5376
113,ENST00000375999,B1AJZ9,0.5379
114,ENST00000378593,Q9UHB7,0.5388
115,ENST00000425432,O75541,0.5389
116,ENST00000338163,Q5RC80,0.5394
117,ENST00000601449,Q8R081,0.5408
118,ENST00000549624,Q9HBM0,0.5411
119,ENST00000430835,Q7Z4U5,0.5415
120,ENST00000520042,O43374,0.5422
121,ENST00000580968,Q96S52,0.5422
122,ENST00000451945,A5A6N3,0.5426
123,ENST00000552966,A6NI47,0.5426
124,ENST00000542787,O15488,0.5428
125,ENST00000527619,Q5RCU4,0.543
126,ENST00000360495,Q3MJ40,0.5435
127,ENST00000481858,Q15415,0.5446
128,ENST00000509753,Q4JDL3,0.5449
129,ENST00000506080,Q4JDL3,0.5449
130,ENST00000435432,Q5RBF2,0.5455
131,ENST00000556265,Q9UPI3,0.5469
132,ENST00000524490,Q8BMB0,0.5471
133,ENST00000525038,Q8BMB0,0.5475
134,ENST00000547889,A6NI47,0.5477
135,ENST00000398968,Q5TAT6,0.5478
136,ENST00000530500,A5A6N3,0.5487
137,ENST00000413740,P40692,0.549
138,ENST00000589602,B9A6J9,0.5492
139,ENST00000354664,B9A6J9,0.5493
140,ENST00000368330,Q9H869,0.5503
141,ENST00000414629,Q15415,0.5518
142,ENST00000528742,P13595,0.5532
143,ENST00000523084,Q6NTE8,0.5533
144,ENST00000466833,Q6ZMW2,0.5539
145,ENST00000353088,O35987,0.5545
146,ENST00000389707,Q5R4T2,0.5546
147,ENST00000512702,Q9P2K1,0.5552
148,ENST00000559268,Q03141,0.5558
149,ENST00000509030,Q8BFY9,0.556
150,ENST00000566987,O75541,0.5561
151,ENST00000514275,Q9HBG6,0.5562
152,ENST00000566987,O75541,0.5563
153,ENST00000371172,Q5R461,0.5563
154,ENST00000413206,Q9P2K1,0.5564
155,ENST00000508047,Q9UBK8,0.5569
156,ENST00000377303,Q8NHU2,0.5573
157,ENST00000450538,O94901,0.5582
158,ENST00000378493,Q9QW07,0.5582
159,ENST00000479173,Q9BXB5,0.5589
160,ENST00000258682,Q3MHJ9,0.5591
161,ENST00000541924,P15257,0.5599
162,ENST00000550351,O14974,0.5599
163,ENST00000423381,Q923T9,0.5601
164,ENST00000583675,Q9HBT8,0.5604
165,ENST00000514275,Q9HBG6,0.561
166,ENST00000403542,Q5RC80,0.5625
167,ENST00000565546,O75185,0.5635
168,ENST00000338586,O94856,0.5642
169,ENST00000581621,Q5R5F5,0.5653
170,ENST00000436968,O14717,0.5657
171,ENST00000435831,O60315,0.5658
172,ENST00000476071,O35987,0.5669
173,ENST00000529850,Q9H892,0.567
174,ENST00000512157,Q9HBG6,0.5671
175,ENST00000512157,Q9HBG6,0.568
176,ENST00000517685,Q9ULV5,0.568
177,ENST00000574784,Q8N0W3,0.5681
178,ENST00000551873,Q8C5L3,0.5689
179,ENST00000360482,Q6ZMY3,0.5694
180,ENST00000398225,H2QL32,0.5695
181,ENST00000512157,Q9HBG6,0.5696
182,ENST00000521743,Q61548,0.5697
183,ENST00000585561,P31717,0.5698
184,ENST00000512157,Q9HBG6,0.5701
185,ENST00000354587,O88943,0.5711
186,ENST00000416189,P27487,0.572
187,ENST00000360049,O94856,0.5725
188,ENST00000550194,Q8C5L3,0.5727
189,ENST00000322635,P11730,0.5727
190,ENST00000493060,O15381,0.5743
191,ENST00000367376,P08575,0.5745
192,ENST00000349570,Q9HBB8,0.5746
193,ENST00000398969,Q5TAT6,0.5747
194,ENST00000354547,Q5TAT6,0.5751
195,ENST00000367567,Q07652,0.5756
196,ENST00000490425,Q9Y2I1,0.5762
197,ENST00000398225,H2QL32,0.5765
198,ENST00000485087,P21675,0.5771
199,ENST00000372421,Q8AYS8,0.5774
200,ENST00000524354,O75410,0.5787
201,ENST00000380328,H2QL32,0.5788
202,ENST00000341947,P13942,0.5794
203,ENST00000490207,Q9NTJ3,0.5799
204,ENST00000539270,Q5RCA7,0.5803
205,ENST00000355717,Q924A0,0.5806
206,ENST00000360967,A5A3E0,0.5811
207,ENST00000356955,Q13444,0.582
208,ENST00000553063,Q9HBM0,0.5826
209,ENST00000487279,Q0D2I5,0.5831
210,ENST00000487279,Q0D2I5,0.5833
211,ENST00000466900,P40692,0.584
212,ENST00000533191,Q5SRN2,0.584
213,ENST00000334866,Q3BBV2,0.5845
214,ENST00000526687,Q71H61,0.5851
215,ENST00000376160,Q9QZM5,0.5852
216,ENST00000409483,Q92932,0.5856
217,ENST00000341947,P13942,0.5863
218,ENST00000444547,Q92540,0.5865
219,ENST00000548245,Q9HBM0,0.5865
220,ENST00000257209,Q2V2M9,0.5869
221,ENST00000360049,O94856,0.5871
222,ENST00000341264,B9A6J9,0.5875
223,ENST00000523258,B9A6J9,0.5879
224,ENST00000517851,Q00417,0.5891
225,ENST00000549624,Q9HBM0,0.5901
226,ENST00000563024,Q9NVU0,0.5901
227,ENST00000584968,Q9XS97,0.5902
228,ENST00000545539,Q9UKM7,0.5907
229,ENST00000525740,Q71H61,0.5921
230,ENST00000359247,Q2V2M9,0.5921
231,ENST00000526687,Q71H61,0.5924
232,ENST00000537886,Q5VV43,0.5925
233,ENST00000374384,Q9NVA1,0.5932
234,ENST00000437522,P16951,0.5941
235,ENST00000422757,Q9H195,0.5951
236,ENST00000262836,Q7YQL3,0.5964
237,ENST00000398897,P11308,0.5964
238,ENST00000398897,P11308,0.5964
239,ENST00000539789,P15337,0.5965
240,ENST00000452994,P46379,0.5965
241,ENST00000494123,Q864U1,0.5968
242,ENST00000541172,Q9ULV3,0.5972
243,ENST00000590114,Q5RAF3,0.5978
244,ENST00000406881,Q71M42,0.5983
245,ENST00000368392,P15941,0.5986
246,ENST00000505714,Q4JDL3,0.5987
247,ENST00000508715,Q4JDL3,0.5987
248,ENST00000484930,Q86XW9,0.5989
249,ENST00000397255,Q13261,0.5995
250,ENST00000370457,Q7YQM1,0.5995
251,ENST00000394526,Q2HJF7,0.6002
252,ENST00000400421,Q5DID0,0.6015
253,ENST00000509230,Q4JDL3,0.6016
254,ENST00000509774,Q4JDL3,0.6016
255,ENST00000593195,Q9C0F0,0.6019
256,ENST00000375300,Q9Y2K2,0.6022
257,ENST00000345990,Q8C4X2,0.6022
258,ENST00000391735,O75022,0.6025
259,ENST00000418391,Q6ZN54,0.6026
260,ENST00000304778,Q8HXH0,0.6031
261,ENST00000461211,Q5RBG3,0.6033
262,ENST00000555236,O54931,0.6038
263,ENST00000418391,Q6ZN54,0.6042
264,ENST00000485357,Q5DID0,0.6043
265,ENST00000515783,Q6NWV3,0.6045
266,ENST00000588949,Q9Y4J8,0.6047
267,ENST00000472773,Q9P2H3,0.6051
268,ENST00000377847,Q02650,0.6052
269,ENST00000349806,Q9NZH6,0.6053
270,ENST00000437147,P21675,0.6057
271,ENST00000415955,P16951,0.6068
272,ENST00000418391,Q6ZN54,0.6069
273,ENST00000394524,Q9DG02,0.607
274,ENST00000557654,Q9NQX3,0.6073
275,ENST00000378634,Q9NQ92,0.6076
276,ENST00000536525,Q80TN7,0.6079
277,ENST00000369397,Q924A0,0.6082
278,ENST00000396559,Q5U623,0.6083
279,ENST00000490034,Q9P2E2,0.609
280,ENST00000493815,Q3SX40,0.6091
281,ENST00000400150,P97836,0.6095
282,ENST00000443097,Q9BT76,0.6105
283,ENST00000581043,Q9BXW6,0.6106
284,ENST00000322635,P11730,0.611
285,ENST00000400421,Q5DID0,0.6112
286,ENST00000517966,Q9UQ07,0.6121
287,ENST00000585171,Q9HBT8,0.6122
288,ENST00000330912,Q9BQ50,0.6123
289,ENST00000370819,Q96P44,0.6131
290,ENST00000414508,Q2PG45,0.6132
291,ENST00000420434,Q13342,0.6133
292,ENST00000435874,Q9P218,0.6134
293,ENST00000597735,Q66K74,0.6136
294,ENST00000577721,Q56A18,0.6141
295,ENST00000395668,Q4JDL3,0.6143
296,ENST00000374218,Q4JDL3,0.6143
297,ENST00000585562,Q9JHD2,0.6144
298,ENST00000518219,Q6NTE8,0.6146
299,ENST00000455478,P35523,0.6149
300,ENST00000468982,Q5DID0,0.615
301,ENST00000592248,Q9JHD2,0.6151
302,ENST00000524370,Q9UQ07,0.6152
303,ENST00000377387,Q15637,0.6155
304,ENST00000417353,P53539,0.6157
305,ENST00000349806,Q9NZH6,0.6163
306,ENST00000376485,Q5TM63,0.6168
307,ENST00000579851,Q9BXW6,0.6169
308,ENST00000523562,Q9ULV5,0.6172
309,ENST00000382137,B2RNN3,0.6185
310,ENST00000359152,Q9HCH5,0.6187
311,ENST00000485087,P21675,0.6188
312,ENST00000449691,P16070,0.6202
313,ENST00000347193,P08413,0.6207
314,ENST00000361163,A5A3E0,0.6214
315,ENST00000448404,Q15637,0.6218
316,ENST00000429686,Q96P48,0.622
317,ENST00000394524,Q9DG02,0.6221
318,ENST00000396595,Q9UPQ0,0.6224
319,ENST00000398978,Q5TAT6,0.6225
320,ENST00000591858,P53539,0.6226
321,ENST00000578091,Q9BXW6,0.6229
322,ENST00000353609,P53539,0.6231
323,ENST00000488337,Q9Y2K2,0.6234
324,ENST00000486047,Q8N4H0,0.624
325,ENST00000286445,P97879,0.6241
326,ENST00000395887,Q03060,0.6244
327,ENST00000515532,Q4JDL3,0.6246
328,ENST00000509599,Q4JDL3,0.6246
329,ENST00000313237,Q96EK2,0.6246
330,ENST00000541211,Q14587,0.6249
331,ENST00000423644,Q9BY07,0.6251
332,ENST00000259238,O00499,0.6255
333,ENST00000539376,Q8BYN5,0.6258
334,ENST00000240361,Q8IWB6,0.6262
335,ENST00000444904,B2RTY4,0.6264
336,ENST00000428554,Q5VVM6,0.6265
337,ENST00000374704,Q8BGU5,0.6268
338,ENST00000577193,Q9C0H9,0.6269
339,ENST00000409515,Q0VF49,0.6279
340,ENST00000491336,Q8BG95,0.6282
341,ENST00000349097,Q9Y3S1,0.6283
342,ENST00000541917,Q0VF49,0.6285
343,ENST00000374240,Q4JDL3,0.6287
344,ENST00000395722,Q4JDL3,0.6291
345,ENST00000400421,Q5DID0,0.6296
346,ENST00000297267,Q4ZHG4,0.6297
347,ENST00000439493,Q5RAR8,0.6298
348,ENST00000439682,B2RU33,0.63
349,ENST00000517659,O76081,0.6312
350,ENST00000412587,Q8BSQ9,0.6313
351,ENST00000575375,Q8NHS9,0.6314
352,ENST00000523145,Q02650,0.6317
353,ENST00000262444,Q17R89,0.6319
354,ENST00000440623,Q5REU9,0.6324
355,ENST00000409195,A4UGR9,0.6324
356,ENST00000295566,Q9H869,0.6325
357,ENST00000494302,P98171,0.6331
358,ENST00000521374,Q9ULV5,0.6334
359,ENST00000444756,Q92609,0.6335
360,ENST00000563892,Q14694,0.6336
361,ENST00000547321,Q8C5L3,0.6338
362,ENST00000397114,Q4R550,0.6345
363,ENST00000284322,Q7Z7G0,0.6346
364,ENST00000545689,Q14031,0.6349
365,ENST00000517659,O76081,0.6352
366,ENST00000407860,O75022,0.6359
367,ENST00000561494,Q9NVU0,0.6361
368,ENST00000398634,Q8N5S3,0.6362
369,ENST00000370096,P12107,0.637
370,ENST00000418501,Q70EL1,0.6371
371,ENST00000347108,Q86YF9,0.6388
372,ENST00000550778,Q7Z6G8,0.6388
373,ENST00000592367,Q5T6L9,0.6389
374,ENST00000396560,Q5U623,0.6391
375,ENST00000295237,A4UGR9,0.6396
376,ENST00000409445,Q9BXY5,0.6398
377,ENST00000533191,Q5SRN2,0.6399
378,ENST00000311269,Q8NA82,0.6399
379,ENST00000463519,Q9BU19,0.64
380,ENST00000338608,Q7Z5V6,0.6405
381,ENST00000371710,Q5R9W4,0.6405
382,ENST00000334914,Q8IZD2,0.6406
383,ENST00000374233,Q4JDL3,0.6406
384,ENST00000374339,Q4JDL3,0.6406
385,ENST00000398910,P11308,0.6408
386,ENST00000495776,Q5R9W4,0.641
387,ENST00000361310,Q7Z4V0,0.6412
388,ENST00000360135,Q6PFW1,0.6415
389,ENST00000424636,O14717,0.6419
390,ENST00000400246,O75140,0.6421
391,ENST00000395636,Q96KR7,0.6427
392,ENST00000587606,P48960,0.6428
393,ENST00000372413,Q64604,0.6428
394,ENST00000589389,Q922P9,0.6429
395,ENST00000595671,Q9GZU2,0.643
396,ENST00000376575,Q7YR43,0.6432
397,ENST00000534992,O15360,0.6432
398,ENST00000542786,O75112,0.6432
399,ENST00000375007,Q5SRN2,0.6432
400,ENST00000447241,Q5SRN2,0.6432
401,ENST00000451642,Q13085,0.6435
402,ENST00000413242,Q9HBT8,0.6439
403,ENST00000427266,Q659C4,0.6439
404,ENST00000371015,Q96KR7,0.6445
405,ENST00000389975,Q6UXI7,0.6453
406,ENST00000486965,Q99706,0.6457
407,ENST00000394526,Q2HJF7,0.6458
408,ENST00000293882,Q96S16,0.6462
409,ENST00000349097,Q9Y3S1,0.6464
410,ENST00000399233,Q9QYF3,0.6465
411,ENST00000538431,Q9ULV3,0.6466
412,ENST00000487279,Q0D2I5,0.6466
413,ENST00000487279,Q0D2I5,0.6466
414,ENST00000317935,Q8WXR4,0.6466
415,ENST00000601070,Q9GZU2,0.6467
416,ENST00000334000,Q86SI9,0.6473
417,ENST00000357472,Q9JKP5,0.6474
418,ENST00000417133,P11308,0.6475
419,ENST00000332995,Q9C0D0,0.648
420,ENST00000433722,Q6IMN6,0.6482
421,ENST00000585734,Q8N5Q1,0.6482
422,ENST00000510514,Q9Y2D5,0.6484
423,ENST00000432919,O94916,0.6485
424,ENST00000400294,Q15735,0.6493
425,ENST00000505472,O94979,0.6499
426,ENST00000458225,Q9UBL0,0.6503
427,ENST00000517947,Q5RB87,0.6503
428,ENST00000416019,Q0D2I5,0.6505
429,ENST00000273139,Q5RBD3,0.6506
430,ENST00000342631,Q8TER0,0.6506
431,ENST00000592745,Q5T6L9,0.6508
432,ENST00000462164,Q8NEA6,0.651
433,ENST00000318588,O70589,0.6513
434,ENST00000592315,Q5T6L9,0.6515
435,ENST00000303045,Q8NFW1,0.6519
436,ENST00000375030,Q9H943,0.652
437,ENST00000398139,Q86VK4,0.6522
438,ENST00000529383,P25977,0.6524
439,ENST00000488892,Q6E0U4,0.6524
440,ENST00000417133,P11308,0.6524
441,ENST00000455740,Q5HYK7,0.6524
442,ENST00000543771,Q9H3R0,0.6528
443,ENST00000473767,Q9HCK4,0.653
444,ENST00000413387,Q9NQ79,0.6531
445,ENST00000438642,Q8WXR4,0.6533
446,ENST00000349624,P07202,0.654
447,ENST00000473581,Q4V328,0.6548
448,ENST00000506183,Q07812,0.6548
449,ENST00000371546,P35439,0.6549
450,ENST00000589544,P60954,0.6549
451,ENST00000358053,Q9H1P3,0.6551
452,ENST00000262963,Q64605,0.6551
453,ENST00000400421,Q5DID0,0.6553
454,ENST00000526508,O75143,0.6555
455,ENST00000539718,Q6UXG3,0.6556
456,ENST00000399935,P57077,0.6556
457,ENST00000538587,O94818,0.6557
458,ENST00000391749,Q8N423,0.6557
459,ENST00000434074,O75143,0.6558
460,ENST00000507336,O43497,0.6561
461,ENST00000528140,P10242,0.6562
462,ENST00000423434,Q58F21,0.6562
463,ENST00000469934,Q71H61,0.6564
464,ENST00000580654,O54941,0.6567
465,ENST00000409044,Q8WXR4,0.6568
466,ENST00000392473,O88831,0.6571
467,ENST00000367567,Q15878,0.6574
468,ENST00000324774,O88831,0.6578
469,ENST00000566079,Q6ZN54,0.6579
470,ENST00000357867,P02751,0.6581
471,ENST00000470476,Q5R939,0.6583
472,ENST00000588409,Q8IWA5,0.6584
473,ENST00000289484,Q0VCW3,0.6586
474,ENST00000409273,A4UGR9,0.6587
475,ENST00000409195,A4UGR9,0.6587
476,ENST00000295237,A4UGR9,0.6587
477,ENST00000372437,O18867,0.6588
478,ENST00000347735,Q811U3,0.6592
479,ENST00000354613,Q9NP71,0.6593
480,ENST00000542302,Q811U3,0.6593
481,ENST00000558420,O15061,0.6595
482,ENST00000395895,Q03060,0.6595
483,ENST00000380406,Q5R606,0.6596
484,ENST00000468167,P21675,0.6597
485,ENST00000448350,Q6UY09,0.6597
486,ENST00000448323,O94979,0.66
487,ENST00000373775,P21675,0.6607
488,ENST00000357395,Q8WXH0,0.661
489,ENST00000471271,Q8N187,0.6612
490,ENST00000339859,Q70EL1,0.6615
491,ENST00000529262,P10242,0.6616
492,ENST00000354744,Q5R7F5,0.6616
493,ENST00000344624,Q9NRR4,0.6616
494,ENST00000404971,Q63373,0.6618
495,ENST00000402717,Q63373,0.662
496,ENST00000369963,Q17R60,0.662
497,ENST00000422819,A2VCL2,0.6622
498,ENST00000357822,Q9BY07,0.6624
499,ENST00000425654,Q9Z1T4,0.6624
500,ENST00000456846,Q7Z7C8,0.6625
501,ENST00000338042,Q5REW7,0.6627
502,ENST00000396795,Q8TF68,0.6629
503,ENST00000554144,Q9BPY8,0.6633
504,ENST00000443841,P53539,0.6635
505,ENST00000418391,Q6ZN54,0.6636
506,ENST00000443841,P53539,0.6639
507,ENST00000478850,Q6ZMW2,0.664
508,ENST00000428679,Q61548,0.6641
509,ENST00000465878,Q9BVG8,0.6642
510,ENST00000377808,Q56A18,0.6645
511,ENST00000409021,Q96N16,0.6645
512,ENST00000381260,Q9BPY8,0.6648
513,ENST00000361874,Q14203,0.6649
514,ENST00000374124,Q80YY7,0.6649
515,ENST00000392425,Q99550,0.6649
516,ENST00000397255,Q13261,0.665
517,ENST00000503864,Q9BPY8,0.665
518,ENST00000346027,O55047,0.6658
519,ENST00000549249,Q8N2C3,0.666
520,ENST00000543067,Q9Z1T4,0.6663
521,ENST00000216481,Q6H9L7,0.6665
522,ENST00000397611,Q64487,0.6666
523,ENST00000417784,Q5R5H4,0.6667
524,ENST00000420715,P0C1Z6,0.6667
525,ENST00000334433,O95359,0.667
526,ENST00000549249,Q8N2C3,0.667
527,ENST00000373995,Q5R9H4,0.6673
528,ENST00000295566,Q9H869,0.6675
529,ENST00000391757,P0C1Z6,0.6675
530,ENST00000477914,Q16875,0.6676
531,ENST00000544416,Q17R89,0.6678
532,ENST00000553936,Q9NQX3,0.6679
533,ENST00000569047,Q9NVM4,0.6685
534,ENST00000428554,Q5VVM6,0.6692
535,ENST00000500777,O94979,0.6692
536,ENST00000409940,Q8WXR4,0.6693
537,ENST00000463282,P10242,0.6695
538,ENST00000398973,Q5TAT6,0.6698
539,ENST00000259238,O00499,0.6699
540,ENST00000375044,Q9P2E2,0.67
541,ENST00000355810,Q13508,0.67
542,ENST00000590925,Q5RAH9,0.6702
543,ENST00000405430,B0BNA1,0.6702
544,ENST00000374222,Q5T124,0.6706
545,ENST00000357568,Q9GLG7,0.6707
546,ENST00000496441,Q9BWT1,0.6707
547,ENST00000514213,P41541,0.6707
548,ENST00000575052,Q9HA64,0.6708
549,ENST00000460065,Q5T5A4,0.671
550,ENST00000317350,Q5R9C1,0.6712
551,ENST00000464894,Q6E0U4,0.6713
552,ENST00000533102,Q86YD3,0.6714
553,ENST00000411772,Q12888,0.6716
554,ENST00000372948,Q9ULV3,0.6718
555,ENST00000393253,O43521,0.6723
556,ENST00000467872,P20800,0.6724
557,ENST00000346299,Q5REB9,0.6724
558,ENST00000420497,Q8N0X2,0.6725
559,ENST00000357570,Q15878,0.6727
560,ENST00000543427,P15257,0.6727
561,ENST00000456331,O35867,0.6727
562,ENST00000498426,Q6UVM3,0.6729
563,ENST00000538431,Q9ULV3,0.673
564,ENST00000414253,Q6NZ36,0.673
565,ENST00000398761,Q4R518,0.6731
566,ENST00000433154,Q8NA31,0.6733
567,ENST00000393608,Q9ULV3,0.6737
568,ENST00000373190,O14522,0.6739
569,ENST00000424649,Q66H76,0.6739
570,ENST00000526565,P10242,0.6741
571,ENST00000490814,Q9H8M2,0.6742
572,ENST00000372454,Q9DCD5,0.6742
573,ENST00000392078,Q9Y520,0.6743
574,ENST00000359152,Q9HCH5,0.6745
575,ENST00000570848,Q5RC74,0.6745
576,ENST00000445192,Q92954,0.6747
577,ENST00000436109,Q9DCD5,0.6748
578,ENST00000354566,Q9HCH5,0.6751
579,ENST00000541910,Q8BGH4,0.6752
580,ENST00000278903,Q4KM77,0.6752
581,ENST00000490483,Q3KRA9,0.6755
582,ENST00000464241,Q49AM3,0.6756
583,ENST00000399233,Q99104,0.6756
584,ENST00000524577,Q9NQ31,0.6757
585,ENST00000599935,Q9NZV7,0.6757
586,ENST00000402931,Q9H0E9,0.6759
587,ENST00000521053,Q6ZUA9,0.676
588,ENST00000395728,Q96KQ7,0.6762
589,ENST00000467872,P20800,0.6762
590,ENST00000518724,Q6UX68,0.6764
591,ENST00000375922,Q3SZH6,0.6766
592,ENST00000378255,Q5R6Z9,0.6767
593,ENST00000575605,Q5RC74,0.6771
594,ENST00000347735,Q811U3,0.6771
595,ENST00000354356,Q9EPH0,0.6773
596,ENST00000329257,Q7Z6G8,0.6774
597,ENST00000442919,Q9UKI8,0.6774
598,ENST00000448323,O94979,0.6775
599,ENST00000378249,Q5R6Z9,0.6778
600,ENST00000260926,Q8VI24,0.6782
601,ENST00000401998,Q4R518,0.6783
602,ENST00000337898,Q8NEY8,0.6783
603,ENST00000454341,Q96M02,0.6784
604,ENST00000172853,P20929,0.6786
605,ENST00000414237,Q5R9C1,0.6786
606,ENST00000415541,Q9Y2K2,0.6787
607,ENST00000588732,Q922P9,0.6788
608,ENST00000429921,Q96AT9,0.6789
609,ENST00000346403,Q9XS97,0.6789
610,ENST00000264658,Q9QZH7,0.6792
611,ENST00000472329,Q8IZS5,0.6793
612,ENST00000467971,Q91Y81,0.6793
613,ENST00000513898,P78312,0.6793
614,ENST00000310397,Q8TER0,0.6794
615,ENST00000358212,Q99104,0.6795
616,ENST00000523669,Q9C099,0.6797
617,ENST00000537145,Q9H201,0.6798
618,ENST00000358282,O14717,0.6801
619,ENST00000341686,Q6P461,0.6801
620,ENST00000262410,P10636,0.6801
621,ENST00000427363,O95644,0.6802
622,ENST00000587291,Q9BYG7,0.6802
623,ENST00000338421,P0CL84,0.6803
624,ENST00000354744,Q5R7F5,0.6803
625,ENST00000507772,P47710,0.6806
626,ENST00000330891,Q8N1M1,0.6808
627,ENST00000415613,P10636,0.6809
628,ENST00000267085,Q9Y600,0.6809
629,ENST00000495368,Q8AY36,0.6811
630,ENST00000485895,O95447,0.6811
631,ENST00000394762,Q923T9,0.6811
632,ENST00000341807,Q8NFW1,0.6811
633,ENST00000346501,Q5RAP3,0.6815
634,ENST00000425899,Q91Y81,0.6815
635,ENST00000397851,Q5RBN6,0.6817
636,ENST00000415541,Q9Y2K2,0.6818
637,ENST00000372437,Q12791,0.6819
638,ENST00000216271,Q969S8,0.682
639,ENST00000424834,Q96N96,0.682
640,ENST00000432343,O88656,0.6821
641,ENST00000355233,Q64487,0.6823
642,ENST00000268679,O75081,0.6825
643,ENST00000534993,Q6PKH6,0.6826
644,ENST00000486869,Q5R8E3,0.6827
645,ENST00000533248,Q8BMB0,0.6828
646,ENST00000229771,O00294,0.6828
647,ENST00000376067,Q8IWF9,0.6828
648,ENST00000426700,Q5T4I8,0.6829
649,ENST00000318024,Q9Y6N9,0.6831
